image_id,PredictionString
fb96a81650614fc467bc6e5af94543b8,3 1.0 666 1225 1703 1757 0 1.0 934 531 1281 860 11 1.0 443 170 800 314 7 1.0 1400 1225 1821 1764 5 1.0 1375 691 1768 1365 13 1.0 351 679 720 945 10 1.0 1243 1550 1842 1872 
cb8934ba47f04d30c7327ca23efce944,3 1.0 1013 1620 1846 2056 11 1.0 1492 487 1802 594 
d870570354a036a5532ade79579261b9,0 1.0 1156 826 1606 1251 11 1.0 1391 477 1750 594 3 1.0 773 1612 2054 2179 
99ccfe1695993a5275d11aad4e2abb9c,3 1.0 726 1343 1763 1846 11 1.0 600 267 963 367 11 1.0 1332 331 1718 456 
6de2e33c4814358a4af07f0d2b03e2de,0 1.0 1423 854 1689 1111 3 1.0 1074 1635 2167 2068 13 1.0 754 1690 1035 1849 
8b1be486cd3aa270873ee8bce40084a0,0 1.0 1103 749 1323 986 3 1.0 826 1387 1635 1652 11 1.0 703 508 957 589 
e0791ea6fad65312a47124a1ed644c63,0 1.0 1380 794 1690 1167 3 1.0 1009 1687 2125 2139 11 1.0 1594 253 1976 370 
7ce84780a2d602c08c800ff2e769514c,3 1.0 1349 1399 2539 1898 0 1.0 1800 879 2076 1158 11 1.0 1992 545 2362 655 11 1.0 1255 543 1633 651 
b0b9a7143b9590143538c99efb5826d8,10 1.0 116 2088 280 2314 11 1.0 1409 393 1730 487 13 1.0 235 1574 663 1957 11 1.0 124 2091 280 2312 7 1.0 229 1565 753 1954 11 1.0 590 425 866 522 6 1.0 207 1579 673 2040 0 1.0 1144 983 1420 1270 
b9e16712bb4e0ba0adfe77973be8942b,13 1.0 420 820 633 975 11 1.0 680 425 957 515 
436bfe4e723272edcfe1cd8c85bd37a0,0 1.0 1222 613 1490 883 11 1.0 1547 236 1809 369 3 1.0 871 1548 1949 1981 
72cfa22b529d2ae71985b2636cb9baf8,0 1.0 1703 680 2010 1053 13 1.0 2013 506 2323 818 11 1.0 1116 417 1503 571 13 1.0 1249 463 1453 794 11 1.0 1837 369 2169 480 3 1.0 1394 1728 2440 2092 6 1.0 1856 459 2409 951 11 1.0 2537 2113 2673 2312 11 1.0 2063 443 2345 766 
6c9502d09e81b5505727e86481d2ed51,11 1.0 522 182 802 285 0 1.0 1016 530 1251 789 11 1.0 1225 136 1471 221 
ec08aa8c34d48c492e9a8f9885f24acb,0 1.0 1063 675 1487 1099 11 1.0 1386 320 1758 453 11 1.0 590 287 1018 452 3 1.0 766 1509 1875 1943 
67b03574d2c2a1cb24109269ceb021c3,0 1.0 1093 620 1265 805 11 1.0 559 318 738 449 11 1.0 1423 343 1590 462 
9c84001b9cecc492efc1d459c8b18a85,3 1.0 902 1022 1965 1621 13 1.0 1861 1092 2224 1276 
8d92d5da9bcba061cf36ee0a6c4d5d45,11 1.0 1325 374 1572 506 11 1.0 572 376 768 488 
ec73f422063ce59169c6c13d3c6227a7,0 1.0 1213 829 1458 1051 11 1.0 522 397 792 583 3 1.0 826 1681 1871 2242 11 1.0 1386 383 1756 514 
fe52d8c7ce9e6f9435fcd3438aa19da7,3 1.0 876 1425 2099 1890 0 1.0 1327 682 1621 1007 
c98c588c3c92079057ce4aac44fe5cfa,0 1.0 1571 753 1877 1092 3 1.0 916 1575 2093 2072 7 1.0 1887 1618 2681 2061 10 1.0 1784 1645 2788 2615 
1ccc9029a1f9a8cb57a4913a7c239acc,0 1.0 1074 800 1289 1065 11 1.0 692 461 940 548 
7b579c49ced6cef817e42812d6b78f1b,3 1.0 656 1248 1602 1602 0 1.0 986 698 1217 940 11 1.0 1167 349 1471 437 11 1.0 538 355 805 445 
89ed046a7e6ea0bf90a90d41c93838fa,0 1.0 1046 559 1257 778 
7bbef01d8c97746a9cf656bc9748bee2,0 1.0 1228 568 1460 782 3 1.0 775 1106 1778 1764 13 1.0 544 628 916 963 
83caa8a85e03606cf57e49147d7ac569,3 1.0 797 1137 1780 1538 0 1.0 1069 741 1309 964 11 1.0 1339 466 1601 577 9 1.0 184 1295 851 1645 
6d3d6b53f358a983b486e9e03144eb62,0 1.0 1307 707 1597 1054 3 1.0 946 1518 1988 1911 
f923cd5cb2daf790272dbef850f5647b,3 1.0 761 1258 1939 1720 7 1.0 1800 1547 2296 1860 0 1.0 1031 509 1580 930 13 1.0 1781 1549 2269 1825 10 1.0 1690 1611 2324 1978 9 1.0 1708 1595 2314 1981 
0dc797718326e05d1decd2996f748fc7,0 1.0 1077 652 1241 871 3 1.0 805 1218 1454 1488 11 1.0 1232 310 1460 405 
ab0272eeb4b1d71bb816b39fb872f817,0 1.0 965 631 1190 874 13 1.0 547 367 723 658 
f4c7a984e4c5c33174f6132f47a3a6f7,3 1.0 1005 1567 2025 1893 0 1.0 1314 748 1544 1024 11 1.0 1684 368 1905 530 
e774e7f6a28e1767f2e5db7ceb01428d,3 1.0 1020 1537 2313 2000 0 1.0 1363 717 1726 1092 11 1.0 850 399 1207 527 
570cc0e3366db46a98ef038a6b5f0489,13 1.0 1517 1582 1804 1701 13 1.0 303 1500 451 1614 
3eeac231c839fbc52b79514b34330663,3 1.0 762 1332 1945 1943 0 1.0 969 595 1553 1063 11 1.0 660 210 1006 342 5 1.0 151 578 999 2109 
4d3acb5e51c6ab03ed5bc7537125ffc2,0 1.0 1217 674 1700 1178 11 1.0 624 328 1000 485 11 1.0 1567 302 1944 520 3 1.0 836 1600 1965 2120 
841f26fd47640f87331ff714df4d2791,0 1.0 1185 638 1440 893 11 1.0 645 147 956 257 11 1.0 1341 148 1682 254 11 1.0 2032 2040 2158 2228 
e52b5e6afc1c45823626dfc0b0c07a8c,3 1.0 609 1197 1625 1859 13 1.0 229 605 624 1019 0 1.0 819 609 1419 1044 11 1.0 1269 195 1609 300 13 1.0 1596 682 1992 1045 11 1.0 569 229 889 340 
8db986c7dad6ac1f5b3bcbf23b358d63,0 1.0 1409 911 1653 1178 
5ed2380173b2e8517d11c525198474d0,3 1.0 830 1532 1606 1909 13 1.0 1546 1069 1753 1181 11 1.0 1257 502 1493 590 
667ee8460269a5864a0fc00b4a9bf62f,11 1.0 593 351 849 478 0 1.0 1130 716 1319 972 
a43c51dd8e8e501bb4c3a3054dd046c0,0 1.0 1114 996 1364 1259 3 1.0 763 1680 1766 2036 
56e3aa531cd2b4c2a597657ce69bea4f,3 1.0 731 1259 1679 1623 0 1.0 1176 781 1600 1231 11 1.0 651 546 1007 674 11 1.0 1309 536 1641 665 8 1.0 1157 786 1600 1226 7 1.0 732 650 1053 1418 7 1.0 1186 802 1610 1224 7 1.0 1542 1171 1973 1571 
871a0f6c5f88473af86d1ceab436a040,0 1.0 1287 833 1589 1129 11 1.0 879 405 1153 532 11 1.0 1700 439 1977 578 5 1.0 1593 818 2217 2138 5 1.0 421 1426 839 2123 13 1.0 541 646 903 996 
5fc94f48e87133c8b9aa2011b76a50a2,3 1.0 1021 1776 2463 2256 0 1.0 1486 857 1821 1202 11 1.0 827 260 1255 426 11 1.0 1789 314 2241 457 13 1.0 627 910 835 1063 5 1.0 2046 770 2496 1547 7 1.0 619 911 833 1093 
8e9dbebe9681191780dd66779a27a663,0 1.0 1583 609 1925 1032 11 1.0 969 172 1371 323 3 1.0 1178 1615 2461 2077 13 1.0 1934 513 2162 702 11 1.0 1884 209 2208 358 
d960415b14e778e388972a25ce3cd70d,0 1.0 1291 873 1634 1297 11 1.0 694 348 1084 502 
05fd4bbf127858eb83ae01cd454d3e2a,0 1.0 1267 764 1519 1048 3 1.0 983 1418 1951 1760 
c534d7f44cbfa9d8baab4ffeeb35f053,0 1.0 974 586 1251 878 3 1.0 736 1234 1568 1515 11 1.0 620 252 871 334 
294caa9ce5e9775c2ef2e3a256927584,3 1.0 898 1477 2280 1993 0 1.0 1400 704 1734 1036 7 1.0 645 1166 1067 1729 11 1.0 187 1900 335 2138 5 1.0 324 780 1077 1868 10 1.0 172 1912 323 2139 10 1.0 2275 2091 2423 2313 
c97e54a78bab9c05ce2e04fe6c284bcd,0 1.0 1672 939 2073 1401 3 1.0 1357 1678 2480 2066 11 1.0 1064 582 1430 728 11 1.0 1895 568 2270 700 8 1.0 1738 971 2078 1393 
08e4edc0d35455c8e25a74b9ed3137b0,3 1.0 998 1552 2103 2154 11 1.0 1663 260 1992 386 
87d52b0c51edffcdd87793fe348aed71,0 1.0 1360 843 1644 1111 
9b9d4926513c155d102818c7e746dc67,13 1.0 1734 789 1932 1009 
d09ec8573f5c237e56bbeae80f877f18,3 1.0 1031 1604 2226 2026 11 1.0 752 178 1177 294 13 1.0 1870 566 2246 997 
ba149dfb4f399902c41699b514d9fe39,10 1.0 131 1477 774 2067 7 1.0 146 1481 768 1933 13 1.0 1272 981 1812 1797 7 1.0 1270 921 1832 1618 6 1.0 1247 914 1829 1858 3 1.0 656 1540 1482 2021 5 1.0 1213 892 1880 2048 0 1.0 1061 971 1264 1217 11 1.0 1292 586 1631 778 
b7806ab0cae2d0a9e40e009a354e4712,3 1.0 914 1297 2132 1844 0 1.0 1021 771 1724 1254 11 1.0 367 1702 511 1917 11 1.0 1511 382 1865 495 11 1.0 814 359 1233 507 
c7629472a268558926052733d25e66cc,0 1.0 1386 616 1678 946 3 1.0 948 1514 2179 2071 11 1.0 1715 235 1956 405 
6a5838d715564084f35e0719e58fe610,0 1.0 1264 499 1479 768 
c27681e26f9d36339d4ad1ae220ca69a,3 1.0 1195 1529 2468 2115 11 1.0 1098 601 1435 737 0 1.0 1501 970 1925 1320 
fad4bd66087b5d10e190636698e66c2a,0 1.0 1607 851 1876 1157 3 1.0 1246 1668 2279 2012 13 1.0 2083 1691 2496 1937 13 1.0 759 1210 1038 1359 7 1.0 2091 1690 2492 1953 
c810e34a7f10490d032f80b95037199f,0 1.0 1434 898 1732 1184 3 1.0 958 1754 2143 2192 
d8593a556bb7da12e839e6e374e35fa2,10 1.0 147 2067 384 2380 9 1.0 155 2046 916 2419 
33218cf183c1224a74ccfb514e827e15,7 1.0 410 1434 1095 1857 10 1.0 390 1541 1101 1953 5 1.0 452 609 1078 1723 6 1.0 448 554 1108 1769 13 1.0 482 937 1070 1690 7 1.0 1482 1154 1977 1955 13 1.0 1573 576 1978 1076 11 1.0 1397 380 1782 549 3 1.0 982 1366 1851 1877 10 1.0 1563 1318 2011 2010 9 1.0 406 1570 1135 2019 11 1.0 387 1654 512 1873 
f1ae5125f7a72feed87fc0afa919b261,0 1.0 856 634 1422 1136 11 1.0 1483 379 1759 562 3 1.0 779 1493 1842 1884 11 1.0 543 417 757 541 
1db20acd44b0e120b91f137a46da1ff6,3 1.0 1255 1503 2443 1903 0 1.0 1655 862 1958 1183 11 1.0 1922 475 2321 602 10 1.0 2547 1780 2798 2041 11 1.0 850 551 1072 729 
950259de679bcbb923e69129ef6640d5,0 1.0 1419 907 1875 1343 3 1.0 1196 1472 2391 2126 11 1.0 994 663 1338 810 
3bbdbcb655e1cedc451d96b4ab3cf4e0,0 1.0 1101 834 1409 1193 3 1.0 750 1376 1796 1735 
38d60e4b63eeca0de18a1539dc527c93,11 1.0 661 244 966 330 11 1.0 1507 280 1651 419 
e14840dd62dcaa3f2f429ed69a89059c,11 1.0 1061 663 1488 796 0 1.0 1551 988 1867 1335 
710700d3055a746543394296d1fb736e,0 1.0 1051 497 1268 720 7 1.0 1274 774 1420 1016 
e7bcf671b3a76fc9b0ba29727f3a7a5c,0 1.0 1238 536 1553 863 3 1.0 833 1381 1896 1992 13 1.0 1694 386 1847 573 11 1.0 1433 141 1808 285 
3aaaa45a86fd160e7c9907b98b8b6c79,0 1.0 1196 774 1480 1084 3 1.0 818 1525 1810 1850 11 1.0 1343 412 1629 537 
880331cec567a33bdfa422b8cae7f77c,3 1.0 933 1299 2129 1762 0 1.0 1236 685 1582 1024 5 1.0 1748 670 2155 1346 11 1.0 511 346 746 509 
74529936ae10f51ecfb193b3f504fb50,0 1.0 1070 729 1334 1028 3 1.0 671 1308 1596 1598 13 1.0 318 1092 457 1186 8 1.0 322 1084 457 1191 
a6f83640b41a64326aba96cdef3133dd,0 1.0 1326 1029 1620 1359 
20d0c4e2d3473e9f1f2891f01d5edf63,0 1.0 1125 648 1519 1023 3 1.0 896 1462 1850 1858 11 1.0 659 305 958 416 
2b7ee30a6af65e9d2915764004122b36,0 1.0 1103 721 1295 941 
d0ab6e17c2e03b8b73a2358cfc50a963,13 1.0 430 1435 612 1523 5 1.0 1480 969 1761 1521 0 1.0 1090 671 1285 913 
79f184fea084f17c4e91a6cd2f0f91f7,3 1.0 1098 1491 2241 1916 0 1.0 1222 891 1752 1259 11 1.0 782 580 1033 752 
f7c9af76d1b6223f1eef8f20b51f1513,0 1.0 985 640 1246 948 11 1.0 453 298 628 426 10 1.0 83 1767 192 1927 3 1.0 648 1461 1536 1793 
186398ac83152a0870a3c329646e66ae,3 1.0 861 1343 2043 1752 0 1.0 1196 644 1590 1018 
6ee33e87bb9db350f4492c105b484d7b,0 1.0 1022 747 1368 1121 11 1.0 520 469 870 585 7 1.0 1449 1690 1938 2044 13 1.0 1601 1678 1930 2028 9 1.0 1340 1826 1944 2172 9 1.0 157 1774 836 2153 
74a889a192f72244c10e6d0c691b68e1,0 1.0 1518 748 1758 1000 
fdf3edb12e482493b9698d76dced9395,3 1.0 771 1267 1511 1529 0 1.0 1051 742 1280 1010 6 1.0 1432 1044 1741 1488 7 1.0 1459 1075 1751 1495 5 1.0 1430 1044 1737 1492 7 1.0 372 1068 691 1456 
8d598771f57b55e64a2ecd048ac42194,0 1.0 1039 721 1256 967 3 1.0 767 1317 1600 1638 
3f311e13697f83d41f55f079232fe7ee,0 1.0 1461 974 1864 1348 11 1.0 919 579 1418 810 13 1.0 796 1768 1045 1947 
e8935719dd9a6c86a3780e18e8732b1c,11 1.0 635 313 884 441 
e82e5f7cf9eaffcf52a36ee49e4b576a,0 1.0 1249 801 1498 1073 
618777b8305b062583337d9a6b7a3d4e,3 1.0 753 1441 1563 1830 0 1.0 1011 817 1218 1071 
ff91fb82429a27521bbec8569b041f02,0 1.0 1624 623 1888 938 3 1.0 1288 1387 2394 1708 8 1.0 837 1339 1111 1573 7 1.0 834 1336 1115 1583 13 1.0 729 1357 1066 1573 
65279dbfdffd5d1250e8f7d0293d5727,11 1.0 559 500 829 605 
2e65079841bd4b68a51facf322a72cb2,0 1.0 1327 703 1619 1052 
8f21e046be34b9fd8fe5a3f6bff1b139,0 1.0 1175 702 1428 972 3 1.0 699 1537 1705 1862 13 1.0 1690 878 1895 1024 11 1.0 510 396 803 600 
ad0e28f2ca779814670ce4a075e6cb2d,11 1.0 999 346 1321 463 3 1.0 1182 1738 2226 2134 11 1.0 1692 352 2033 463 
a8eea443a1b6ff5a66a5b3d9ca3b43ec,11 1.0 687 1888 821 2087 10 1.0 687 1882 821 2089 11 1.0 1950 205 2225 343 
1b2df8b1ebcd4cf26b828e96dd54304a,3 1.0 797 1110 1656 1389 0 1.0 1089 643 1305 896 11 1.0 575 429 767 543 
bf754344a692a87c08c480dccf75e0c6,0 1.0 1687 780 1934 1027 11 1.0 721 2017 868 2257 10 1.0 715 2020 871 2255 10 1.0 2409 1968 2579 2155 11 1.0 2407 1982 2578 2165 3 1.0 1317 1575 2275 1997 11 1.0 1107 387 1355 522 
c3f1d51f1ef2fcad77bf099d4e0e400d,0 1.0 1544 465 1836 807 3 1.0 1108 1391 2264 1835 
d284e83f3baf1f572284e30999dc013c,0 1.0 1253 818 1519 1192 3 1.0 832 1617 1785 2001 11 1.0 689 525 885 677 13 1.0 788 743 954 905 
f1c8c1427d797062d35457c3d54bce52,0 1.0 1136 602 1380 889 3 1.0 797 1159 1646 1639 11 1.0 613 305 829 472 13 1.0 1283 346 1462 543 13 1.0 451 802 674 1056 13 1.0 627 359 804 541 
2021c6c746096cd28002e71ceb992c69,11 1.0 1504 578 1868 695 11 1.0 608 533 1072 784 8 1.0 564 1597 784 1756 13 1.0 549 1593 775 1749 0 1.0 1313 963 1520 1176 7 1.0 551 1599 790 1766 
7b377cc85094e39b186b83c181b17642,7 1.0 1063 607 1608 1129 11 1.0 1099 523 1433 668 13 1.0 1057 590 1619 1044 3 1.0 778 1407 1591 1726 11 1.0 483 523 779 632 1 1.0 1102 597 1579 1131 5 1.0 274 927 817 1774 11 1.0 1663 1662 1782 1888 4 1.0 1142 648 1601 1245 
512bac5557727b83dd78d39052adf936,0 1.0 1133 529 1466 916 3 1.0 796 1267 1754 1610 
923555428f4043c4b5eac18d242021a7,11 1.0 616 254 944 368 3 1.0 843 1338 1762 1737 0 1.0 1124 615 1380 881 
c1d8e02bc4d3b5e14672235659c061d3,11 1.0 468 394 690 504 
edb0b27fb3602ffb157e5a022e6b5a70,11 1.0 511 321 726 416 
a2887b486dd81a8f4f9086a97b87ee44,3 1.0 861 1658 2259 2382 0 1.0 1155 1144 1961 1667 10 1.0 375 2252 519 2455 4 1.0 1322 1031 2207 2597 8 1.0 820 1452 1068 1726 7 1.0 1433 1148 1932 1604 11 1.0 683 713 934 899 10 1.0 2183 2284 2343 2523 7 1.0 453 1505 1042 2229 7 1.0 1711 1543 2246 2339 11 1.0 376 2257 523 2479 9 1.0 1130 1389 2231 2340 11 1.0 2169 2299 2323 2499 8 1.0 1473 1152 1922 1595 
a96be9e6b0e037a1c534c965fe7c5e44,0 1.0 995 988 1146 1172 
d2e7c65281972947f30c8d461eca2e99,3 1.0 892 1334 1891 1760 11 1.0 538 355 739 536 11 1.0 216 1856 344 2032 10 1.0 217 1841 343 2010 
69f8a7c2bc453e0c3c71442dd0c46d91,0 1.0 1366 858 1680 1224 3 1.0 959 1717 2166 2108 5 1.0 301 903 998 1997 
ff425d16ade3f71bb7a6386f2f650cfa,3 1.0 1144 1520 2179 1899 11 1.0 579 1846 708 2050 
6073528e3a3ae67cf0f69e79c2d65c7a,3 1.0 1027 1704 2043 2228 5 1.0 1967 1386 2321 2149 
100c6c7390eec8d9548306514d80fd53,11 1.0 1512 171 1867 291 11 1.0 734 152 1101 249 
d442b46f858afa0bbc87e0fd6a88bbb4,3 1.0 1039 1546 2323 1924 0 1.0 1494 984 1809 1311 11 1.0 295 1783 439 2038 
07ea0f8d7b7f1fb150c5afb04dc26c9a,0 1.0 1044 501 1282 753 7 1.0 315 1085 726 1449 3 1.0 752 1196 1578 1474 
c7d5032adf1f4001b80e7fe7e3d593d7,0 1.0 1695 887 2039 1291 3 1.0 1306 1717 2433 2155 11 1.0 1883 521 2214 641 
6ce0806845f2f73ef1665353979d581f,11 1.0 2055 326 2302 483 11 1.0 904 331 1261 459 
da7cdc23c69b13c2677e7bf8de1a06e7,0 1.0 1442 576 1758 925 3 1.0 1062 1368 2155 1719 13 1.0 2019 742 2252 915 
b9182fc1e8c26b2642e8cb47ead586c7,0 1.0 999 738 1210 992 3 1.0 652 1344 1530 1645 11 1.0 1122 466 1386 555 
fd2e0ef3254e46ba1716bcd5e885f355,11 1.0 1425 271 1857 444 3 1.0 834 1465 1902 2043 0 1.0 1215 730 1580 1123 
defc27d70096bdf800da5ce0cce3903c,13 1.0 1870 736 2020 929 0 1.0 1256 683 1534 993 
7788cdc2fe03ff147991981c80af67f6,0 1.0 1654 933 1892 1198 
1c04f08e163f0fdb38461013b2f6f9b9,0 1.0 1013 631 1262 958 3 1.0 639 1445 1699 1773 7 1.0 1546 734 1743 1027 8 1.0 1428 712 1760 1062 11 1.0 1715 1638 1830 1799 13 1.0 1565 770 1730 1021 9 1.0 1465 687 1768 1018 
cb811fdb74fb4f7efafad55da5efb7e6,3 1.0 1169 1680 2336 2095 0 1.0 1505 891 1771 1208 11 1.0 1872 478 2181 606 
8f83a4da5d18bff5a21d5caaef7d38ae,0 1.0 1306 619 1617 964 3 1.0 887 1375 2080 1749 
c433a34f8cf9c7b894a9d52c80678b0e,0 1.0 1245 933 1518 1227 11 1.0 1636 475 1869 618 3 1.0 957 1754 1970 2133 
62c427184e17db926037ce718ed2d202,0 1.0 1453 572 1764 908 3 1.0 1085 1406 2294 1857 10 1.0 2272 1757 2460 2027 11 1.0 2274 1783 2455 2033 
aa36be0450cf8113111df8d7f4c30859,3 1.0 1314 1526 2613 2159 0 1.0 1455 762 2151 1315 7 1.0 1453 778 2134 1263 8 1.0 1465 733 2145 1291 
7882ac9a9fa79ddd245f540d6f6e4af5,0 1.0 813 555 1557 1099 3 1.0 708 938 1712 1798 11 1.0 1281 189 1592 302 11 1.0 631 220 920 329 
6072691c16f225c5758fd5d4750b3044,3 1.0 800 1288 1952 1663 0 1.0 1250 570 1562 895 
a1e9c815d63650be13b90158b6523c08,0 1.0 1015 1067 1214 1292 11 1.0 564 740 845 823 7 1.0 379 1577 839 1970 13 1.0 425 1080 609 1364 11 1.0 1139 731 1373 815 5 1.0 335 1034 838 2029 
3e00c13e8222abbd2c177f4d95d6d718,3 1.0 775 1218 1751 1758 11 1.0 376 270 784 508 11 1.0 1389 285 1614 409 5 1.0 141 471 919 1955 
c5275940f8aaa064bf37cbfcac5d3890,7 1.0 1905 1315 2352 2122 13 1.0 275 1985 655 2164 6 1.0 1887 1313 2349 2092 
d49e92ae76d99be46e09d76b90a2a35d,0 1.0 1274 780 1536 1072 
b688050e1558b6377a64246e88bfce3d,0 1.0 1059 838 1300 1112 13 1.0 520 980 657 1092 11 1.0 1200 468 1410 558 
44e38e19f2d5fa89ebc805b4e4249f4a,10 1.0 244 1661 348 1822 11 1.0 242 1672 352 1840 11 1.0 1292 342 1495 457 
4de27ac8b1c575b620cc16780030086d,0 1.0 1224 1009 1493 1314 7 1.0 1850 1822 2108 2065 13 1.0 1763 1801 2074 1971 13 1.0 403 731 776 1102 11 1.0 626 665 965 802 3 1.0 869 1813 1886 2242 10 1.0 2080 2263 2211 2473 11 1.0 2077 2285 2213 2488 
a9653a3944debde919a631ede6f9ac5e,3 1.0 708 1304 1601 1619 0 1.0 988 816 1196 1050 13 1.0 220 1405 449 1527 11 1.0 344 504 521 627 
6c71ea8dbd37e59b995085cd189e1621,0 1.0 1171 721 1419 1017 
cb0ab4b50a94ae805b052e56e18c7f43,0 1.0 1443 605 1752 950 3 1.0 1024 1524 2267 1929 13 1.0 554 901 971 1205 
d505378e162ec9099017c7ff6d35b812,10 1.0 2120 1872 2341 2182 11 1.0 2161 1907 2322 2161 0 1.0 1029 734 1731 1286 13 1.0 1765 1581 2195 1749 10 1.0 1524 1936 1715 2237 
24bc34d29332c13d3cf82c783d92d8ad,0 1.0 1558 675 1890 1044 3 1.0 1177 1417 2262 1780 
37bf1c43895b0e72e6e6c4de3040bfeb,0 1.0 1199 701 1484 1039 11 1.0 424 379 1028 680 3 1.0 836 1443 1887 1833 13 1.0 455 422 1003 856 10 1.0 1959 1670 2167 1959 9 1.0 139 1503 887 1845 11 1.0 127 1571 249 1780 7 1.0 1825 1627 2153 1902 7 1.0 148 1508 865 1806 11 1.0 1444 313 1742 415 11 1.0 1688 401 1875 552 10 1.0 128 1553 255 1778 
fd1952a0bbb148711493e3fd73ba1160,0 1.0 1052 544 1280 787 13 1.0 497 379 840 760 13 1.0 1220 381 1690 969 7 1.0 532 398 798 699 11 1.0 1251 308 1557 470 11 1.0 497 308 808 455 6 1.0 1205 389 1698 895 
fb36e668ed268bf65084fe3d1ff7a21f,0 1.0 1005 725 1258 1022 3 1.0 623 1359 1530 1639 11 1.0 1171 378 1417 471 
b0119d70ae6410b497a0f2a74225ea9e,0 1.0 1757 1023 2118 1430 11 1.0 1809 597 2139 708 
2a7a59327e473f50b0fa174fe0ba6d30,11 1.0 1641 174 2005 285 
773144bbf1ced7a17fb84cdcbf7e6504,3 1.0 932 1299 2152 1864 0 1.0 1188 769 1750 1195 11 1.0 1500 547 1959 717 11 1.0 776 523 1076 652 
9466f15cf32369021196e4a474d6864e,0 1.0 1507 597 1847 994 11 1.0 918 206 1287 329 11 1.0 1742 197 2092 340 3 1.0 1148 1345 2157 1738 
a2ecc47841fb7903a59b137768a3363c,3 1.0 799 1411 1934 1932 0 1.0 937 693 1560 1165 13 1.0 434 525 892 949 11 1.0 462 436 933 770 10 1.0 126 1776 257 1982 11 1.0 1257 223 1660 557 
ae1be0bdd3023c9d1d16d25124c6c6d2,13 1.0 333 386 906 951 13 1.0 1498 825 1863 1116 7 1.0 330 390 914 953 11 1.0 345 291 942 843 6 1.0 297 430 902 945 13 1.0 314 828 457 949 
8d14c321b87595be89926a9b5219150b,3 1.0 881 1294 1914 1597 0 1.0 1196 709 1465 1027 
5fe1faff313cb7b3019b7e1686f7ff57,0 1.0 850 771 1489 1241 11 1.0 1526 478 1859 673 3 1.0 799 1526 1821 1887 11 1.0 545 454 900 566 
5beee832c007826c93c25ba287ee4d48,0 1.0 1414 574 1762 982 3 1.0 1069 1181 2056 1541 11 1.0 837 314 1119 474 9 1.0 219 81 628 430 11 1.0 208 64 540 255 
b355f072e13b16791b85280fe272e2d2,11 1.0 530 273 813 363 
dbc51fb3223bace177f22521c166a830,10 1.0 232 1427 566 1622 
ba38573ea116b6f1b299fe7f8843325d,0 1.0 1276 750 1612 1138 3 1.0 950 1679 2009 2054 13 1.0 386 1060 740 1381 13 1.0 1833 850 2010 1051 
